nombre_estacion,latitud,longitud,Fecha,Caudal Diario Promedio
Agoyan,-1.3977,-78.3829,2016-06-12,236.29166666666666
Agoyan,-1.3977,-78.3829,2016-06-13,442.0833333333333
Agoyan,-1.3977,-78.3829,2016-06-14,34.291666666666664
Agoyan,-1.3977,-78.3829,2016-06-15,221.16666666666666
Agoyan,-1.3977,-78.3829,2016-06-16,362.3333333333333
Agoyan,-1.3977,-78.3829,2016-06-17,417.7916666666667
Agoyan,-1.3977,-78.3829,2016-06-18,414.6666666666667
Agoyan,-1.3977,-78.3829,2016-06-19,388.75
Agoyan,-1.3977,-78.3829,2016-06-20,605.5416666666666
Agoyan,-1.3977,-78.3829,2016-06-21,739.3333333333334
Agoyan,-1.3977,-78.3829,2016-06-22,155.0
Agoyan,-1.3977,-78.3829,2016-06-23,490.0833333333333
Agoyan,-1.3977,-78.3829,2016-06-24,499.2083333333333
Agoyan,-1.3977,-78.3829,2016-06-25,341.25
Agoyan,-1.3977,-78.3829,2016-06-26,299.4583333333333
Agoyan,-1.3977,-78.3829,2016-06-27,261.7083333333333
Agoyan,-1.3977,-78.3829,2016-06-28,338.5416666666667
Agoyan,-1.3977,-78.3829,2016-06-29,408.0416666666667
Agoyan,-1.3977,-78.3829,2016-06-30,294.1666666666667
Agoyan,-1.3977,-78.3829,2016-07-01,221.41666666666666
Agoyan,-1.3977,-78.3829,2016-07-02,255.45833333333334
Agoyan,-1.3977,-78.3829,2016-07-03,217.20833333333334
Agoyan,-1.3977,-78.3829,2016-07-04,176.70833333333334
Agoyan,-1.3977,-78.3829,2016-07-05,159.875
Agoyan,-1.3977,-78.3829,2016-07-06,146.54166666666666
Agoyan,-1.3977,-78.3829,2016-07-07,164.25
Agoyan,-1.3977,-78.3829,2016-07-08,206.625
Agoyan,-1.3977,-78.3829,2016-07-09,149.41666666666666
Agoyan,-1.3977,-78.3829,2016-07-10,132.375
Agoyan,-1.3977,-78.3829,2016-07-11,139.16666666666666
Agoyan,-1.3977,-78.3829,2016-07-12,133.25
Agoyan,-1.3977,-78.3829,2016-07-13,133.125
Agoyan,-1.3977,-78.3829,2016-07-14,141.125
Agoyan,-1.3977,-78.3829,2016-07-15,134.0
Agoyan,-1.3977,-78.3829,2016-07-16,106.75
Agoyan,-1.3977,-78.3829,2016-07-17,31.916666666666668
Agoyan,-1.3977,-78.3829,2016-07-18,129.54166666666666
Agoyan,-1.3977,-78.3829,2016-07-19,118.79166666666667
Agoyan,-1.3977,-78.3829,2016-07-20,225.79166666666666
Agoyan,-1.3977,-78.3829,2016-07-21,209.08333333333334
Agoyan,-1.3977,-78.3829,2016-07-22,171.66666666666666
Agoyan,-1.3977,-78.3829,2016-07-23,153.08333333333334
Agoyan,-1.3977,-78.3829,2016-07-24,133.41666666666666
Agoyan,-1.3977,-78.3829,2016-07-25,129.75
Agoyan,-1.3977,-78.3829,2016-07-26,130.125
Agoyan,-1.3977,-78.3829,2016-07-27,156.25
